,YEAR,SAMPLE,SERIAL,CBSERIAL,HHWT,CLUSTER,STRATA,GQ,PERNUM,PERWT,SEX,AGE,MARST,BIRTHYR,DIVINYR,WIDINYR,RACE,RACED,BPL,BPLD,HCOVPRIV,HINSCAID,HINSCARE,EDUC,EDUCD,EMPSTAT,EMPSTATD,LABFORCE,WKSWORK2,UHRSWORK,INCTOT,INCWAGE
1173591,2021,202101,509009,2021001187344,18.0,2021005090091,30018,1,5,16.0,1,68,2,1953,1,1,1,100,55,5500,2,1,2,7,71,3,30,1,0,0,24600,0
2222275,2021,202101,981686,2021001412447,72.0,2021009816861,10037,1,2,56.0,2,50,1,1971,1,1,1,100,26,2600,2,1,1,7,71,1,12,2,6,40,30000,30000
2781462,2021,202101,1241911,2021000381737,54.0,2021012419111,390048,1,2,37.0,2,50,1,1971,1,1,1,100,48,4800,2,1,1,10,101,1,10,2,6,10,2500,0
1170856,2021,202101,507842,2021001123481,264.0,2021005078421,90018,1,2,228.0,2,21,6,2000,0,0,1,100,18,1800,1,2,1,7,71,3,30,1,1,4,320,320
370280,2021,202101,160964,2021000745711,76.0,2021001609641,372106,1,2,93.0,2,26,6,1995,0,0,8,826,6,600,2,1,1,7,71,1,10,2,4,40,42000,36000
2275770,2021,202101,1008671,2021000490920,151.0,2021010086711,410139,1,1,152.0,2,48,1,1973,1,1,1,100,39,3900,2,1,1,11,114,1,10,2,6,60,120000,120000
2899604,2021,202101,1288592,2021001054694,43.0,2021012885921,140048,1,3,48.0,2,19,6,2002,0,0,8,801,48,4800,2,1,1,7,71,1,10,2,3,16,18000,18000
670086,2021,202101,287216,2021000034640,83.0,2021002872161,111012,1,2,89.0,1,60,1,1961,1,1,2,200,260,26030,2,1,1,8,81,1,10,2,6,40,100000,100000
74899,2021,202101,35874,2021000313508,152.0,2021000358741,50004,1,4,130.0,2,8,6,2013,0,0,8,826,4,400,1,2,1,1,15,0,0,0,0,0,9999999,999999
1322303,2021,202101,577685,2021000974403,124.0,2021005776851,160022,1,1,124.0,1,55,4,1966,1,1,1,100,22,2200,2,1,1,6,65,1,10,2,6,40,112000,100000
3211525,2021,202101,1423073,2021000552486,29.0,2021014230731,160155,1,1,29.0,2,53,1,1968,1,1,1,100,55,5500,2,1,1,10,101,1,10,2,6,40,145000,145000
2861032,2021,202101,1273397,2021000836434,57.0,2021012733971,500048,1,1,57.0,2,40,1,1981,1,1,1,100,48,4800,2,1,1,10,101,2,20,2,0,0,0,0
2218804,2021,202101,980191,2021001363252,82.0,2021009801911,120237,1,2,124.0,2,42,6,1979,0,0,1,100,37,3700,2,1,1,11,114,1,10,2,4,45,55320,55000
1817458,2021,202101,802786,2021000135219,75.0,2021008027861,130234,1,1,75.0,2,39,6,1982,0,0,2,200,34,3400,2,2,1,10,101,3,30,1,0,0,18000,0
183607,2021,202101,91536,2021000028370,47.0,2021000915361,370206,1,1,48.0,1,51,1,1970,1,1,6,620,502,50200,2,2,1,7,71,1,10,2,6,60,448200,320000
1463303,2021,202101,642071,2021000964063,59.0,2021006420711,190125,1,1,58.0,2,45,6,1976,0,0,1,100,25,2500,2,1,1,6,65,1,10,2,6,45,68000,68000
1675279,2021,202101,739031,2021000067188,77.0,2021007390311,180529,1,2,65.0,1,33,1,1988,1,1,1,100,29,2900,2,1,1,10,101,1,10,2,6,40,220000,220000
1429797,2021,202101,628110,2021000262435,75.0,2021006281101,350025,1,2,70.0,2,57,4,1964,1,1,1,100,25,2500,2,2,1,11,114,1,10,2,6,40,36000,36000
1349571,2021,202101,590639,2021010020017,4.0,2021005906391,150024,4,1,4.0,2,94,5,1927,1,1,1,100,24,2400,1,1,2,10,101,3,30,1,0,0,30000,0
1574445,2021,202101,692126,2021001273939,74.0,2021006921261,230026,1,2,79.0,2,26,1,1995,1,1,1,100,53,5300,2,1,1,11,114,1,10,2,6,40,41000,41000
173375,2021,202101,85967,2021010134021,25.0,2021000859671,591606,4,1,25.0,2,87,6,1934,0,0,1,100,414,41400,1,1,2,11,116,3,30,1,0,0,0,0
1826644,2021,202101,806376,2021000279488,74.0,2021008063761,170034,1,4,71.0,2,4,6,2017,0,0,1,100,34,3400,2,1,1,1,11,0,0,0,0,0,9999999,999999
1389915,2021,202101,608748,2021000887210,29.0,2021006087481,90124,1,1,29.0,2,36,1,1985,1,1,7,700,210,21050,2,1,1,11,114,1,10,2,6,48,134000,134000
47877,2021,202101,22438,2021001361642,85.0,2021000224381,210001,1,3,103.0,2,18,6,2003,0,0,1,100,1,100,2,1,1,5,50,3,30,1,0,0,0,0
1893387,2021,202101,832677,2021001337120,77.0,2021008326771,120534,1,2,134.0,2,46,1,1975,1,1,1,100,31,3100,2,1,1,10,101,1,10,2,6,45,87400,0
1634180,2021,202101,718568,2021001245419,44.0,2021007185681,210027,1,2,41.0,1,58,1,1963,1,1,1,100,27,2700,2,1,1,8,81,3,30,1,1,80,7900,0
2536851,2021,202101,1126958,2021001144676,91.0,2021011269581,150242,1,1,90.0,1,21,1,2000,1,1,2,200,29,2900,1,1,1,6,63,1,10,2,3,35,2800,2100
2631547,2021,202101,1170344,2021001389218,17.0,2021011703441,40046,1,2,18.0,1,64,1,1957,1,1,1,100,46,4600,2,1,1,7,71,1,10,2,6,45,50000,50000
1667417,2021,202101,733828,2021001304083,72.0,2021007338281,170028,1,1,72.0,1,48,1,1973,1,1,1,100,600,60013,2,1,1,7,71,1,10,2,6,50,71000,71000
2898380,2021,202101,1288104,2021001047747,57.0,2021012881041,463748,1,2,63.0,2,53,1,1968,1,1,1,100,22,2200,2,1,1,11,114,1,10,2,6,40,100000,100000
2531789,2021,202101,1124826,2021001087361,330.0,2021011248261,10242,1,2,381.0,2,65,1,1956,1,1,1,100,42,4200,2,1,2,6,63,1,10,2,6,40,16800,12000
318617,2021,202101,141782,2021000547541,76.0,2021001417821,470206,1,2,49.0,2,57,1,1964,1,1,1,100,30,3000,2,1,1,8,81,1,10,2,6,40,61000,61000
2790465,2021,202101,1245456,2021000435474,51.0,2021012454561,590348,1,1,51.0,2,53,1,1968,1,1,8,826,48,4800,1,1,1,6,65,3,30,1,0,0,0,0
1671693,2021,202101,737022,2021010117707,74.0,2021007370221,150029,4,1,74.0,1,18,6,2003,0,0,1,100,29,2900,2,1,1,6,65,3,30,1,0,0,0,0
739843,2021,202101,317521,2021000539667,55.0,2021003175211,862112,1,1,56.0,1,53,1,1968,1,1,8,826,210,21060,2,1,1,6,63,1,10,2,6,46,62000,62000
4278,2021,202101,3368,2021000046357,86.0,2021000033681,260001,1,1,86.0,1,74,4,1947,1,1,1,100,1,100,1,2,2,10,101,3,30,1,0,0,54000,0
27868,2021,202101,13641,2021000750209,154.0,2021000136411,160001,1,3,166.0,2,29,6,1992,0,0,1,100,1,100,2,1,1,7,71,1,10,2,6,40,31000,31000
442607,2021,202101,187628,2021001022939,66.0,2021001876281,651006,1,3,75.0,2,57,3,1964,1,1,8,826,210,21030,2,1,1,6,63,3,30,1,0,0,0,0
391808,2021,202101,168877,2021000827637,31.0,2021001688771,590706,1,3,37.0,1,56,4,1965,1,1,1,100,34,3400,2,1,1,10,101,2,20,2,0,0,19000,0
1946249,2021,202101,862164,2021000121956,81.0,2021008621641,411336,1,2,91.0,2,40,6,1981,0,0,7,700,300,30040,1,1,1,6,61,3,30,1,0,0,0,0
2055605,2021,202101,907338,2021000947824,87.0,2021009073381,320536,1,1,87.0,1,63,4,1958,1,1,2,200,260,26044,2,1,1,6,65,1,10,2,6,30,59800,29000
